gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GENE_0000,696.8753805726409,1.445231447557264,0.18559602440635353,7.786974167038188,6.8632977774762026e-15,5.046542483438384e-13
GENE_0001,662.0082292358512,1.2275152000732206,0.1923772216528297,6.380772055687732,1.761974070772717e-10,8.93806685742263e-09
GENE_0002,694.4127181605788,1.3967863921801897,0.16918137189708363,8.256147686459727,1.5044944826251947e-16,1.2537454021876622e-14
GENE_0003,619.5669933183484,1.3669016718862852,0.1941350685524768,7.040982765650076,1.9088861942750367e-12,1.0845944285653619e-10
GENE_0004,625.3419274179454,1.433219823450351,0.1872452250937443,7.654239635391554,1.9445936525249097e-14,1.350412258697854e-12
GENE_0005,634.3917183135874,1.1252566095941874,0.18364154201327215,6.127462213930129,8.929179557413163e-10,4.464589778706582e-08
GENE_0006,669.6029287611702,1.2682516864576443,0.16652817131499384,7.615838668273743,2.619847534909282e-14,1.794416119800878e-12
GENE_0007,654.2927685467088,1.177022233063662,0.16524302463126686,7.122976813636396,1.0562059407718635e-12,6.140732213789904e-11
GENE_0008,649.5857023988506,1.540771529217608,0.18124292433473196,8.501140305880327,1.877372922074956e-17,1.618424932823238e-15
GENE_0009,681.1358190382982,1.1773609872946642,0.17286371962059968,6.810920127593744,9.697646547715202e-12,5.21378846651355e-10
GENE_0010,662.6991247484709,1.3131548523897894,0.16941057687649838,7.751315629761944,9.094531906094907e-15,6.519416902580616e-13
GENE_0011,662.3532779158903,1.4363386517122494,0.18952534954277805,7.578609696155982,3.492775173367014e-14,2.3285167822446764e-12
GENE_0012,655.0575042871247,1.5177813448872575,0.16562593101034354,9.163911324926953,5.0049595260166514e-20,4.634221783348751e-18
GENE_0013,674.5319765653103,1.292545269452568,0.18929743854324932,6.8281181161215585,8.603573884656756e-12,4.727238398163053e-10
GENE_0014,689.3338970379497,1.3413589003026,0.16309796315736677,8.224252923430907,1.9641123281512232e-16,1.6099281378288717e-14
